Participant ID,Overall,E. Why Text
R_2jcHCEFJA7BR0hI,No audio notification at all,Ich brauche 100ige Konzentration.
R_2qJWwhP8L0JTDwc,No audio notification at all,need to focus on the road
R_81THo4xsUVpXXcB,No audio notification at all,"in this scenario even if i hear the message immediately in that moment, i wont be able to answer it right away since i am biking. so no need to disrupt my peace and concentration at that moment. also it might be dangerous"
R_8RkR5LJDCvufjIl,No audio notification at all,While driving with any kind of vehicle  I want to be focused and not be distracted by any kind of device
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_8mXGSIvo1Rmwtal,No audio notification at all,Let me focus on the road please.
R_8DJWwh7dfICB7Db,🔔 Version 1,"Cycling requires full concentration, so this sound won’t disrupt my ride much."
R_8eXdWDp0BXIS3ih,🔔 Version 1,safety
R_2gMhUIO2rdXJI86,🔔 Version 1,"I'm cycling, and something can happen if ım distracted, and a voice will definitely do that."
R_2dssgsqa4HHmfgN,🔔 Version 1,"I choose option 1 while cycling because I need to stay aware of my surroundings, like car horns or traffic sounds, without being distracted by a voice reading out a full message"
R_2zPlNCUbZ8JpWZB,🔔 Version 1,"Cycling requires complete focus. If I were to choose, I would like the least disrupting notification. Because I know it's urgent - I will pull over and take out my phone once guaranteeing my safety and safety of others on the road. The addition of a name and especially the content of the message can cause loose of concentration, and also depending on the content of the message - it can influence my mental sensitivity."
R_2dh2IXdUglu1uYV,🔔 Version 1,version 2 and 3 distract from the task at hand
R_8jqw8UHg9aIIDRI,🔔 Version 1,I'd prefer a less disruptive sound when I'm on the road and dealing with traffic
R_73f3igIb2AiZZTg,🔔 Version 1,"The first version is better only because it's so short, for the second version I would actually prefer a sound the user picked out for the app and then just 'Lily', so ""New WhatsApp from Lily"" -&gt; *ping* ""Lily"""
R_8kgNWKVqvoxXNDa,🗣️ Version 2,It notifies me in a brief and concise way without needing to pay more attention 
R_8uqW68lNo50I4DJ,🗣️ Version 2,"I would want to focus on driving and navigating, and the text message being read out would be disruptive and unsafe. I wouldn't mind just knowing the sender. "
R_2j8rLZgGyZGgQoj,🗣️ Version 2,Best tradeoff between information and distraction.
R_8TFKoOgxzhVrDgZ,🗣️ Version 2,"In einer potentiell gefährlichen Situation möchte ich Nachrichten direkt hören, aber zu wissen von wem eine angekommen ist, ist in Ordnung. So verliere ich den Fokus nicht."
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
R_8JCx6iV1TX1qGQN,🗣️ Version 2,"Version 1 ist wiederum zu wenig informativ. Sobald ich mich an den Benachrichtigungston gewöhnt habe, würde ich ihn höchstwahrscheinlich auch bei leisen Verkehrsgeräuschen kaum wahrnehmen. Version 3 würde meine Aufmerksamkeit zu sehr vom Verkehrsgeschehen ablenken. Ich wäre möglicherweise über den Inhalt der Nachricht in Gedanken und nicht mehr zu 100 Prozent auf den Verkehr konzentriert. Version 2 wiederum ist ein guter Kompromiss. Die Benachrichtigung ist gut wahrnehmbar. Aufgrund ihrer Kürze wird meine Aufmerksamkeit auch nur kurz beansprucht. Anhand des Namens kann ich entscheiden, ob ich kurz rechts ranfahre und die Nachricht in Ruhe lese und ggf. beantworte. Dann bin ich voll auf die Nachricht konzentriert und nicht mehr aktiv im Verkehrsgeschehen involviert."
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Besonders wenn man sich gerade auf den Verkehr konzentriert, sollte eine Benachrichtigung konkret und präzise sein. Und auch nicht zu lang, 2-3 Sätze maximal, alles darüber bindet zu viel Aufmerksamkeit."
R_82PiWLNvqNB0Q5a,🗣️🗣️ Version 3,I would prefer to have Version 3 out of all the options because then I would not sit on the bike and wonder what Lilly might have texted me - also I think that the conditions under which I recieve the notification were not limiting to the comprehendability of it.
R_8vYaPDZjNmVualU,🗣️🗣️ Version 3,I do not have to look at my phone to read the text.
R_2X0TJXeOLFuPfSN,🗣️🗣️ Version 3,It seems like the street is empty and there are no distractions so its best if the notification is displayed at that moment and in full text. 
R_8lxiIAjgBh6nS81,🗣️🗣️ Version 3,"Situation has my hands tied up, but isn't acutely dangerous."
R_40YDrxd2bce8vm3,🗣️🗣️ Version 3,"While I am riding, directly message can help me get  the information."
R_2FFYkvIS1B2cJA8,🗣️🗣️ Version 3,"Since I do not have to concentrate on any other spoken words and can not check my phone easily on the bike, this is a nice method."
R_2L5aIHwYDvaCUSB,🗣️🗣️ Version 3,When I do not have my hands free the content of the message being read out loud has value
R_8Fa2s5gQHqby1xu,🗣️🗣️ Version 3,usually i would be able to focus on both and even if traffic was to get relly bad a would be able to just ignore the notification
R_2llCBFJ5a18v30L,🗣️🗣️ Version 3,"it can couse a danger to check the massage, so it would be better to know the whole context "
R_2aNAGlZgflVtY3v,🗣️🗣️ Version 3,if i just get the notification sound or just from whom the message is i need to stop and read the message or read it while driving (theoreticly) 
R_8CDe1vDEJ4aMR4g,🗣️🗣️ Version 3,my hands are busy and in this case I should not be intrigued to stop and get my phone out. 
R_25HmpH2IIzw051s,🗣️🗣️ Version 3,I would want to know immediately what the message is about and who it is from and I'm not in the immediate vicinity of other people I know/too focused on anything important so I can concentrate sufficiently on the message
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,You don't need to get your phone out.
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,"It helps me know how important the message is or if i really need to reply immediately, thats why i prefer it"
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,Because I don't need the phone at all
R_6neGB6qI64zhSKo,🗣️🗣️ Version 3,"As I am currently cycling and do not have the ability to take out my phone, I would rather have the entire message be read out so that I know whether it is important enough to stop for a second to take out my phone and respond."
