Participant ID,Overall,G. Why Text
R_8TZerhduC2hcnKy,No audio notification at all,not urgent
R_8mXGSIvo1Rmwtal,No audio notification at all,Let me listen to my podcast in peace.
R_82PiWLNvqNB0Q5a,🔔 Version 1,It would be hard to differentiate between the podcast and the notification.
R_8vYaPDZjNmVualU,🔔 Version 1,It was difficult to hear the others.
R_8kgNWKVqvoxXNDa,🔔 Version 1,No disruptive audio content
R_2jcHCEFJA7BR0hI,🔔 Version 1,"Ich möchte dann nicht gestört werden, während ich aufmerksam einen Podcast höre und nebenbei zB koche."
R_2qJWwhP8L0JTDwc,🔔 Version 1,the smallest ping is enough. i don't need an extra device that reads out the sender and/or the message to me when i am in the middle of something
R_8eXdWDp0BXIS3ih,🔔 Version 1,less disruptive
R_8lxiIAjgBh6nS81,🔔 Version 1,"I should at least pause the podcast, if it is going to have its own voice message."
R_2gMhUIO2rdXJI86,🔔 Version 1,"I'm trying to cook while listening to my podcast, and I want to do it in peace. I'm already using my phone too much. At least when I'm doing these things, I just want to focus on the things I'm currently doing. "
R_2dssgsqa4HHmfgN,🔔 Version 1,"I chose option 1 while playing a podcast because a simple alert tone stands out better against the spoken words, whereas a read-out message just gets buried in the audio"
R_2FFYkvIS1B2cJA8,🔔 Version 1,"I can not concentrate on both speakers. When the podcast stopped, it would be fine, but not like that."
R_2zPlNCUbZ8JpWZB,🔔 Version 1,"I can never listen to and understand a context of a podcast while multitasking. I will go back in the podcast multiple times especially while cooking, and I often prefer to at most listen to music if it is socially appropriate (I do not share a kitchen with anyone else). Detecting a signal would be easier than a spoken content when listening to a conversation in a podcast."
R_2L5aIHwYDvaCUSB,🔔 Version 1,Minimum disruptivity
R_8RkR5LJDCvufjIl,🔔 Version 1,the basic version1. is okay here I am cooking so i have anyways no time to answer directly so no need for the full message
R_2dh2IXdUglu1uYV,🔔 Version 1,"version 2 and 3 interrupt the flow of things and require my full attention.
version 1 is better but the sound effect is also simply way too long and intrusive"
R_2j8rLZgGyZGgQoj,🔔 Version 1,I would likely miss version 2 and 3
R_8CDe1vDEJ4aMR4g,🔔 Version 1,"my hands are busy and dirty, and I am usually relaxing when cooking. Lilly can wait being ignored until I am finished cooking"
R_8TFKoOgxzhVrDgZ,🔔 Version 1,"Wenn ich einen Podcast nur nebenbei höre, sind Benachrichtigungen okay. Wenn ich aber eh schon multi-taske und sich die Töne überschneiden, dann ist das mehr nervig als hilfreich."
R_25HmpH2IIzw051s,🔔 Version 1,"Version 1, because the others are quite difficult to notice, especially when distracted with cooking"
R_8jqw8UHg9aIIDRI,🔔 Version 1,"A short sound doesn't interfere with the podcast as much as the other options. The notification seems to arrive during my freetime, so a little sound effect would be fine "
R_2bZQT5azTZaKdY5,🔔 Version 1,Vers1 doesnt talk over the podcast unlike the others.
R_73f3igIb2AiZZTg,🔔 Version 1,"The second version is very hard to understand - I'd make the notification lower the volume of any other media or noise surrounding oneself, the third one is too long. In this case the first version is better"
R_8JCx6iV1TX1qGQN,🔔 Version 1,"In dem Szenario war ich auf den Podcast konzentriert und bereits durch das Kochen abgelenkt. Sowohl Version 2 als auch Version 3 hätten mich ganz vom Podcast abgelenkt. Ich hätte zurückspringen müssen, um dem Gespräch weiter zu folgen. Version 1 hat meine Aufmerksamkeit kaum vom Podcast abgelenkt. Um die Nachricht zu lesen und ggf. zu beantworten, hätte ich das Handy zu einem günstigen Zeitpunkt aufnehmen und den Podcast stoppen können. Version 2 ist komplett mit dem Podcast ""verschmolzen"", sodass ich nicht mehr zwischen beiden unterscheiden konnte. Insbesondere habe ich auch den Absender der Nachricht nicht verstehen können. Gegenüber Version 1 hätte mir Version 2 daher schon gar keinen Mehrnutzen gegeben. Vielmehr wäre sie nur störender gewesen. Version 3 war ausschließlich störend. Ich habe weder Absender und Inhalt der Nachricht verstanden noch dem Podcast folgen können, da beide parallel liefen. Somit wiederum keinerlei Mehrnutzen gegenüber Version 1."
R_6neGB6qI64zhSKo,🔔 Version 1,I'm actively listening to something while making food so this is the worst time to have the notification read out information as it will distract me from what I'm currently doing.
R_8DJWwh7dfICB7Db,🗣️ Version 2,quick and concise
R_8uqW68lNo50I4DJ,🗣️ Version 2,"Since there's podcast playing in the background, the text message also being read out makes it slightly illegible, since there's overlapping audio. "
R_8fj5FFM9mYzJUIB,🗣️ Version 2,In Version 2 I know who is texting me 
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Man hat ja gerade die Hände voll zu tun, daher ist es gut, die Information gleich zu bekommen.
So ganz generell ist dann bei der Abendgestaltung aber einiges schiefgelaufen, wenn man kochend am heimischen Herd steht und anderswo jemand auf einen wartet :D"
R_2X0TJXeOLFuPfSN,🗣️🗣️ Version 3,"I have my hands busy cooking, and i'd like to hear the message at that very moment since its important. "
R_81THo4xsUVpXXcB,🗣️🗣️ Version 3,i want to hear what the message says without checking my phone since im busy cooking that time and dont want to touch my phone unless its really important
R_40YDrxd2bce8vm3,🗣️🗣️ Version 3,I do not need to check the phone.
R_8Fa2s5gQHqby1xu,🗣️🗣️ Version 3,since its urgent i dont want to have to put everything down and wash my hands just to look at my phone
R_2llCBFJ5a18v30L,🗣️🗣️ Version 3,"ı would not want to check my phone, so it is better to know the content of the massage"
R_2aNAGlZgflVtY3v,🗣️🗣️ Version 3,so that i dont have to disrupt the thing that i have to do 
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I dont wanna miss any important message and i wanna know immediately who sent me the message or whats the message about.
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,Because I can be desturbed and I can focus on the Message even if the podcast runns (eventually I can go back with it if I need an inforamtion: difference with offer at the store)
